,Source,State,Date,Sample,Biden,Trump,Other,p_hat,sample_sd,Delegates,538 Grade,Mean-Reverted Bias,Bias,Bias_Party,Bias_Numeric,Grade_Bin,Bias_Adjustment
28,CNBC/Change Research,Arizona,2020-10-20,232.0,0.53,0.47000000000000003,0.04,0.53,0.03276746704510015,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
29,RMG Research,Arizona,2020-10-20,800.0,0.505,0.495,0.07,0.505,0.017676785624089014,11,B/C,,,,0.0,2.0,0.0
30,Data Orbital,Arizona,2020-10-20,550.0,0.525,0.475,0.11,0.525,0.021293404868857654,11,A/B,D +0.3,D +1.2,D,0.012,1.0,-0.012
31,YouGov/CBS News,Arizona,2020-10-18,1074.0,0.515,0.485,0.03,0.515,0.015250087767247516,11,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
32,Monmouth University,Arizona,2020-10-15,502.0,0.53,0.47,0.06,0.53,0.02227588695074185,11,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
33,OH Predictive Insights,Arizona,2020-10-15,608.0,0.515,0.485,0.03,0.515,0.02026855063236743,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
34,Ipsos/Reuters,Arizona,2020-10-14,667.0,0.52,0.48000000000000004,0.04,0.52,0.019344583054520026,11,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
35,Morning Consult,Arizona,2020-10-13,1144.0,0.515,0.48500000000000004,0.05,0.515,0.014776156137838765,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
36,Redfield & Wilton,Arizona,2020-10-09,727.0,0.53,0.47,0.08,0.53,0.018510564291003916,11,,,,,0.0,,0.0
37,Trafalgar Group,Arizona,2020-10-09,1087.0,0.48,0.52,0.08,0.48,0.015153310367289272,11,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
38,Ipsos/Reuters,Arizona,2020-10-07,663.0,0.51,0.49,0.06,0.51,0.01941450686788302,11,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
39,Data Orbital,Arizona,2020-10-07,550.0,0.525,0.475,0.09,0.525,0.021293404868857654,11,A/B,D +0.3,D +1.2,D,0.012,1.0,-0.012
40,CNBC/Change Research,Arizona,2020-10-06,296.0,0.53,0.47000000000000003,0.04,0.53,0.029009551083290723,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
41,NY Times / Siena College,Arizona,2020-10-05,655.0,0.54,0.45999999999999996,0.1,0.54,0.01947399910704974,11,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
42,Redfield & Wilton,Arizona,2020-10-02,871.0,0.515,0.485,0.09,0.515,0.016934228138997212,11,,,,,0.0,,0.0
43,Suffolk University,Arizona,2020-10-02,500.0,0.52,0.48000000000000004,0.04,0.52,0.022342784070030305,11,A,D +0.6,D +1.0,D,0.01,1.0,-0.01
44,Ipsos/Reuters,Arizona,2020-09-23,565.0,0.505,0.495,0.07,0.505,0.02103410631138352,11,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
45,CNBC/Change Research,Arizona,2020-09-23,262.0,0.53,0.47,0.08,0.53,0.030834450842825562,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
46,ABC News / Wash. Post,Arizona,2020-09-23,579.0,0.495,0.505,0.03,0.495,0.0207782518825655,11,A+,D +0.5,D +0.8,D,0.008,1.0,-0.008
47,Redfield & Wilton,Arizona,2020-09-18,855.0,0.525,0.475,0.11,0.525,0.01707825127659933,11,,,,,0.0,,0.0
48,NY Times / Siena College,Arizona,2020-09-18,653.0,0.545,0.455,0.11,0.545,0.01948710650818268,11,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
49,Monmouth University,Arizona,2020-09-17,420.0,0.52,0.48,0.08,0.52,0.02437797600880176,11,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
50,Kaiser Family Foundation,Arizona,2020-09-17,1298.0,0.525,0.47500000000000003,0.15,0.525,0.013860825954751754,11,,,,,0.0,,0.0
51,OH Predictive Insights,Arizona,2020-09-14,600.0,0.55,0.44999999999999996,0.06,0.55,0.020310096011589902,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
52,YouGov/CBS News,Arizona,2020-09-13,1106.0,0.515,0.485,0.09,0.515,0.01502785238139857,11,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
53,Gravis Marketing,Arizona,2020-09-12,684.0,0.51,0.49,0.02,0.51,0.019114153844546258,11,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
54,Benenson / GS Strategy,Arizona,2020-09-10,1600.0,0.505,0.495,0.05,0.505,0.01249937498437422,11,B/C,D +0.7,D +3.8,D,0.038,2.0,-0.038
55,CNBC/Change Research,Arizona,2020-09-09,470.0,0.52,0.48,0.06,0.52,0.023044822190401774,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
56,Redfield & Wilton,Arizona,2020-09-08,830.0,0.525,0.475,0.09,0.525,0.01733354572004573,11,,,,,0.0,,0.0
57,Fox News,Arizona,2020-09-02,772.0,0.545,0.455,0.11,0.545,0.017922364238469574,11,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
58,Morning Consult,Arizona,2020-09-01,9443.0,0.55,0.44999999999999996,0.06,0.55,0.005119559641658092,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
59,CNBC/Change Research,Arizona,2020-08-26,344.0,0.51,0.49,0.04,0.51,0.026952801122927708,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
60,Redfield & Wilton,Arizona,2020-08-21,856.0,0.5449999999999999,0.455,0.15,0.5449999999999999,0.017020294373504462,11,,,,,0.0,,0.0
61,CNBC/Change Research,Arizona,2020-08-12,428.0,0.505,0.495,0.11,0.505,0.02416720377531826,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
62,Emerson College,Arizona,2020-08-11,661.0,0.52,0.48,0.06,0.52,0.01943218161451632,11,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
63,Trafalgar Group,Arizona,2020-08-10,1013.0,0.495,0.505,0.09,0.495,0.015708820090249875,11,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
64,OH Predictive Insights,Arizona,2020-08-10,603.0,0.52,0.48,0.06,0.52,0.020345278279215215,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
65,Redfield & Wilton,Arizona,2020-07-30,858.0,0.54,0.46,0.16,0.54,0.017015007772860097,11,,,,,0.0,,0.0
66,CNBC/Change Research,Arizona,2020-07-29,365.0,0.51,0.49,0.08,0.51,0.026165961366756148,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
67,Morning Consult,Arizona,2020-07-28,908.0,0.535,0.46499999999999997,0.09,0.535,0.016552379814789162,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
68,NBC News/Marist,Arizona,2020-07-26,826.0,0.525,0.47500000000000003,0.05,0.525,0.017375464876112436,11,,,,,0.0,,0.0
69,CNN/SSRS,Arizona,2020-07-26,873.0,0.52,0.48,0.06,0.52,0.01690889271717584,11,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
70,Spry Strategies,Arizona,2020-07-22,700.0,0.52,0.48,0.06,0.52,0.018883099019266634,11,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
71,Public Policy,Arizona,2020-07-22,960.0,0.52,0.48,0.06,0.52,0.0161245154965971,11,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
72,OH Predictive Insights,Arizona,2020-07-16,600.0,0.525,0.475,0.07,0.525,0.020386883037875114,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
73,CNBC/Change Research,Arizona,2020-07-15,345.0,0.53,0.47000000000000003,0.04,0.53,0.02687059704411583,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
74,YouGov/CBS News,Arizona,2020-07-12,1099.0,0.5,0.5,0.08,0.5,0.015082424435169042,11,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
75,Data Orbital,Arizona,2020-07-01,600.0,0.51,0.49,0.08,0.51,0.020408331631958553,11,A/B,D +0.3,D +1.2,D,0.012,1.0,-0.012
76,CNBC/Change Research,Arizona,2020-07-01,311.0,0.535,0.465,0.05,0.535,0.02828285017723479,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
77,Redfield & Wilton,Arizona,2020-06-25,865.0,0.52,0.48,0.18,0.52,0.01698690417041309,11,,,,,0.0,,0.0
78,NY Times / Siena College,Arizona,2020-06-25,650.0,0.535,0.46499999999999997,0.11,0.535,0.01956350605670592,11,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
79,CNBC/Change Research,Arizona,2020-06-17,201.0,0.505,0.495,0.11,0.505,0.03526551738480396,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
80,Civiqs,Arizona,2020-06-16,1368.0,0.52,0.48,0.06,0.52,0.013507632670119408,11,B/C,,,,0.0,2.0,0.0
81,CNBC/Change Research,Arizona,2020-06-03,329.0,0.495,0.505,0.11,0.495,0.027564513991923424,11,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
82,Fox News,Arizona,2020-06-03,1002.0,0.52,0.48,0.12,0.52,0.015782959051052044,11,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
83,HighGround,Arizona,2020-05-26,400.0,0.51,0.49,0.08,0.51,0.024994999499899976,11,B/C,R +0.4,R +4.4,R,0.044000000000000004,2.0,0.044000000000000004
84,Redfield & Wilton,Arizona,2020-05-21,946.0,0.52,0.48,0.14,0.52,0.016243391891069114,11,,,,,0.0,,0.0
85,OH Predictive Insights,Arizona,2020-05-19,600.0,0.535,0.46499999999999997,0.07,0.535,0.020362342694297236,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
86,OH Predictive Insights,Arizona,2020-04-14,600.0,0.545,0.455,0.05,0.545,0.020329576155608032,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
87,NBC News/Marist,Arizona,2020-03-16,2523.0,0.505,0.495,0.07,0.505,0.009953817257835213,11,,,,,0.0,,0.0
88,Monmouth University,Arizona,2020-03-16,847.0,0.515,0.485,0.11,0.515,0.01717247048682907,11,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
89,Univision/ASU,Arizona,2020-03-13,1036.0,0.54,0.45999999999999996,0.08,0.54,0.015484454777884167,11,B/C,D +0.6,D +5.8,D,0.057999999999999996,2.0,-0.057999999999999996
90,OH Predictive Insights,Arizona,2020-03-13,600.0,0.53,0.47,0.08,0.53,0.02037563904928301,11,B/C,R +0.9,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
91,Public Policy,Arizona,2020-03-05,666.0,0.505,0.495,0.05,0.505,0.01937363770276088,11,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
92,Fabrizio Lee,Arizona,2020-02-28,1000.0,0.47500000000000003,0.525,0.05,0.47500000000000003,0.015791611697353755,11,,,,,0.0,,0.0
93,Public Policy,Arizona,2020-01-08,760.0,0.5,0.5,0.08,0.5,0.01813690625275029,11,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
94,Arkansas Poll,Arkansas,2020-10-28,405.0,0.335,0.665,0.03,0.335,0.023453394815997574,6,,,,,0.0,,0.0
95,Hendrix College,Arkansas,2020-10-20,647.0,0.38,0.62,0.08,0.38,0.019082510179349487,6,B/C,D +1.5,D +4.7,D,0.047,2.0,-0.047
96,Axios / SurveyMonkey,Arkansas,2020-10-17,1466.0,0.405,0.595,0.03,0.405,0.012820914657710663,6,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
97,Axios / SurveyMonkey,Arkansas,2020-10-01,771.0,0.38,0.62,0.0,0.38,0.017480765787094184,6,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
98,Hendrix College,Arkansas,2020-06-14,869.0,0.49,0.51,0.08,0.49,0.01695794568186657,6,B/C,D +1.5,D +4.7,D,0.047,2.0,-0.047
99,UC Berkeley,California,2020-10-27,5352.0,0.68,0.31999999999999995,0.06,0.68,0.006376338922673511,55,C/D,R +0.3,R +5.9,R,0.059000000000000004,3.0,0.059000000000000004
100,PPIC,California,2020-10-22,1185.0,0.63,0.37,0.1,0.63,0.014025293606890862,55,,,,,0.0,,0.0
101,Axios / SurveyMonkey,California,2020-10-17,22318.0,0.63,0.37,0.02,0.63,0.003231792733574401,55,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
102,SurveyUSA,California,2020-09-29,588.0,0.635,0.365,0.09,0.635,0.01985384522121665,55,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
103,Redfield & Wilton,California,2020-09-27,1733.0,0.67,0.33,0.1,0.67,0.01129523029209293,55,,,,,0.0,,0.0
104,UC Berkeley,California,2020-09-25,5942.0,0.6950000000000001,0.30500000000000005,0.05,0.6950000000000001,0.005972772847095589,55,C/D,R +0.3,R +5.9,R,0.059000000000000004,3.0,0.059000000000000004
105,PPIC,California,2020-09-17,1168.0,0.645,0.355,0.09,0.645,0.014001437059317424,55,,,,,0.0,,0.0
106,Spry Strategies,California,2020-09-07,600.0,0.5850000000000001,0.41500000000000004,0.05,0.5850000000000001,0.02011529268989144,55,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
107,Redfield & Wilton,California,2020-08-14,2000.0,0.6799999999999999,0.32,0.14,0.6799999999999999,0.010430723848324238,55,,,,,0.0,,0.0
108,UC Berkeley,California,2020-08-04,6756.0,0.6950000000000001,0.30500000000000005,0.05,0.6950000000000001,0.0056014117944655885,55,C/D,R +0.3,R +5.9,R,0.059000000000000004,3.0,0.059000000000000004
109,Morning Consult,Colorado,2020-10-22,788.0,0.5800000000000001,0.42000000000000004,0.06,0.5800000000000001,0.017582293816153893,9,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
110,RMG Research,Colorado,2020-10-20,800.0,0.54,0.45999999999999996,0.06,0.54,0.017621010186706098,9,B/C,,,,0.0,2.0,0.0
111,Univ. of Colorado,Colorado,2020-10-19,800.0,0.5449999999999999,0.455,0.15,0.5449999999999999,0.017605929398926943,9,,,,,0.0,,0.0
112,Keating Research,Colorado,2020-10-15,519.0,0.5750000000000001,0.42500000000000004,0.07,0.5750000000000001,0.021699249252261087,9,B/C,D +0.1,D +0.9,D,0.009000000000000001,2.0,-0.009000000000000001
113,Civiqs,Colorado,2020-10-15,1013.0,0.56,0.44,0.04,0.56,0.015596086278496854,9,B/C,,,,0.0,2.0,0.0
114,Morning Consult,Colorado,2020-10-13,837.0,0.5700000000000001,0.43000000000000005,0.06,0.5700000000000001,0.017112321327588432,9,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
115,SurveyUSA,Colorado,2020-10-08,1021.0,0.55,0.45,0.1,0.55,0.015569502321735368,9,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
116,Fabrizio Ward / Hart Research,Colorado,2020-09-10,800.0,0.55,0.45,0.1,0.55,0.01758905909933786,9,,,,,0.0,,0.0
117,Global Strategy Group,Colorado,2020-09-03,800.0,0.56,0.43999999999999995,0.06,0.56,0.017549928774784243,9,B/C,D +1.8,D +4.8,D,0.048,2.0,-0.048
118,Morning Consult,Colorado,2020-09-03,638.0,0.55,0.44999999999999996,0.08,0.55,0.019695964928958382,9,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
119,Axios / SurveyMonkey,Connecticut,2020-10-17,2681.0,0.65,0.35000000000000003,0.02,0.65,0.009211753191811032,7,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
120,Axios / SurveyMonkey,Connecticut,2020-10-01,1415.0,0.62,0.38,0.02,0.62,0.01290355636188924,7,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
121,SurveyUSA,Connecticut,2020-06-18,808.0,0.6,0.4,0.16,0.6,0.017234549688642783,7,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
122,Quinnipiac,Connecticut,2020-05-06,945.0,0.6150000000000001,0.385,0.11,0.6150000000000001,0.015828946760778353,7,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
123,GreatBlue Research,Connecticut,2020-04-10,866.0,0.57,0.43,0.16,0.57,0.016823358884510663,7,,,,,0.0,,0.0
124,GreatBlue Research,Connecticut,2020-03-17,881.0,0.5750000000000001,0.425,0.09,0.5750000000000001,0.016654838784496563,7,,,,,0.0,,0.0
125,Univ. of Delaware,Delaware,2020-10-05,847.0,0.605,0.395,0.13,0.605,0.016797108594721208,3,,,,,0.0,,0.0
126,Axios / SurveyMonkey,Delaware,2020-10-01,395.0,0.62,0.38,0.02,0.62,0.02442244247004242,3,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
127,Public Policy,Delaware,2020-08-25,710.0,0.605,0.395,0.05,0.605,0.018346239588598354,3,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
128,Gonzales Research,Delaware,2020-01-27,410.0,0.5800000000000001,0.42000000000000004,0.04,0.5800000000000001,0.024375117260505938,3,B/C,R +0.3,R +2.1,R,0.021,2.0,0.021
129,Axios / SurveyMonkey,District_of_Columbia,2020-10-17,674.0,0.89,0.11,0.02,0.89,0.01205206312293824,3,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
130,Axios / SurveyMonkey,District_of_Columbia,2020-10-01,343.0,0.87,0.13,0.02,0.87,0.01815867862289121,3,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
131,Emerson College,Florida,2020-11-01,849.0,0.53,0.47000000000000003,0.04,0.53,0.017129039807047716,29,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
132,Rasmussen Reports,Florida,2020-11-01,800.0,0.505,0.495,0.05,0.505,0.017676785624089014,29,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
133,Susquehanna,Florida,2020-11-01,400.0,0.5,0.5,0.08,0.5,0.025,29,C,D +0.9,D +1.7,D,0.017,3.0,-0.017
134,RMG Research,Florida,2020-11-01,1200.0,0.52,0.48,0.02,0.52,0.014422205101855956,29,B/C,,,,0.0,2.0,0.0
135,NY Times / Siena College,Florida,2020-11-01,1451.0,0.515,0.485,0.09,0.515,0.013120209735930952,29,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
136,ABC News / Wash. Post,Florida,2020-11-01,824.0,0.49,0.51,0.02,0.49,0.017414841343782787,29,A+,D +0.5,D +0.8,D,0.008,1.0,-0.008
137,St. Pete Polls,Florida,2020-10-30,2758.0,0.505,0.495,0.03,0.505,0.009520311479904517,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
138,Trafalgar Group,Florida,2020-10-30,1088.0,0.485,0.515,0.03,0.485,0.015151653714829865,29,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
139,Public Policy,Florida,2020-10-30,941.0,0.535,0.465,0.03,0.535,0.016259551268066864,29,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
140,NBC News/Marist,Florida,2020-10-29,743.0,0.52,0.48,0.02,0.52,0.01832854050488011,29,,,,,0.0,,0.0
141,Hill/Harris,Florida,2020-10-29,1148.0,0.515,0.485,0.03,0.515,0.014750391242670368,29,,,,,0.0,,0.0
142,Quinnipiac,Florida,2020-10-29,1324.0,0.515,0.485,0.13,0.515,0.013735057797068849,29,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
143,Monmouth University,Florida,2020-10-29,509.0,0.525,0.47500000000000003,0.05,0.525,0.02213439038512291,29,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
144,NBC News/Marist,Florida,2020-10-29,743.0,0.52,0.48,0.02,0.52,0.01832854050488011,29,,,,,0.0,,0.0
145,Ipsos/Reuters,Florida,2020-10-28,704.0,0.51,0.49,0.04,0.51,0.018840689767338426,29,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
146,Susquehanna,Florida,2020-10-27,400.0,0.48,0.52,0.08,0.48,0.024979991993593593,29,C,D +0.9,D +1.7,D,0.017,3.0,-0.017
147,Florida Atlantic Univ.,Florida,2020-10-27,937.0,0.51,0.49,0.02,0.51,0.016331020825266992,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
148,RMG Research,Florida,2020-10-26,800.0,0.51,0.49,0.02,0.51,0.017674133642133636,29,B/C,,,,0.0,2.0,0.0
149,YouGov/CBS News,Florida,2020-10-25,1228.0,0.51,0.49,0.02,0.51,0.014265399702233903,29,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
150,Rasmussen Reports,Florida,2020-10-23,800.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.017669712787705405,29,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
151,St. Pete Polls,Florida,2020-10-23,2527.0,0.51,0.49,0.04,0.51,0.009944444014574307,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
152,Morning Consult,Florida,2020-10-22,4685.0,0.535,0.465,0.03,0.535,0.007286996649564053,29,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
153,Ipsos/Reuters,Florida,2020-10-21,662.0,0.52,0.48000000000000004,0.04,0.52,0.019417499193368628,29,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
154,CNN/SSRS,Florida,2020-10-21,847.0,0.52,0.48000000000000004,0.04,0.52,0.01716645365387876,29,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
155,Civiqs,Florida,2020-10-21,863.0,0.52,0.48,0.02,0.52,0.01700657633006867,29,B/C,,,,0.0,2.0,0.0
156,CNBC/Change Research,Florida,2020-10-20,547.0,0.525,0.47500000000000003,0.05,0.525,0.021351716447321062,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
157,Univ. of North Florida,Florida,2020-10-20,863.0,0.505,0.495,0.05,0.505,0.017019346908071664,29,A/B,D +0.7,D +3.9,D,0.039,1.0,-0.039
158,Hill-HarrisX,Florida,2020-10-16,965.0,0.5,0.5,0.04,0.5,0.01609556949949126,29,,,,,0.0,,0.0
159,Mason-Dixon,Florida,2020-10-16,625.0,0.515,0.485,0.07,0.515,0.019990997974088237,29,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
160,Ipsos/Reuters,Florida,2020-10-14,653.0,0.51,0.49,0.04,0.51,0.01956259831106131,29,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
161,Trafalgar Group,Florida,2020-10-14,1051.0,0.49,0.51,0.06,0.49,0.015419907554876959,29,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
